name,subtitle,category,price,Linking,source1
Uber,Private Valuation - 2016,Corporations,62500000000,,http://www.bloomberg.com/news/articles/2015-12-03/uber-raises-funding-at-62-5-valuation
U.S. SNAP Food Stamps,Annual Budget,Government Spending,74100000000,,http://www.fns.usda.gov/pd/supplemental-nutrition-assistance-program-snap
California Bullet Train System,Projected Cost,Government Spending,98500000000,,http://www.nbclosangeles.com/news/local/Californias-Bullet-Train-to-Cost-985-Billion-What-Else-That-Can-Buy-133041823.html
New Zealand,GDP - 2014,Countries,1.86E+11,,http://www.tradingeconomics.com/new-zealand/gdp
Google,Market Cap - 2016,Corporations,4.91E+11,Google,http://www.bloomberg.com/quote/GOOG:US
Norway,GDP - 2013,Countries,5.13E+11,,https://www.google.com/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=gdp+of+norway
Apple,Market Cap - 2016,Corporations,5.75E+11,Apple,http://finance.yahoo.com/q;_ylt=AoMWOY_XDwigbRpxji5OQkJcXsQF;_ylc=X1MDMjE0MjQ3ODk0OARfcgMyBGZyA3VoM19maW5hbmNlX3dlYl9nc19jdHJsMQRmcjIDc2EtZ3AEZ3ByaWQDBG5fZ3BzAzEwBG9yaWdpbgNmaW5hbmNlLnlhaG9vLmNvbQRwb3MDMQRwcXN0cgMEcXVlcnkDQUFQTCwEc2FjAzEEc2FvAzE-?p=http%3A%2F%2Ffinance.yahoo.com%2Fq%3Fs%3DAAPL%26ql%3D0&uhb=uhb2&fr=uh3_finance_vert_gs_ctrl1&s=AAPL
U.S. Military,Annual Budget,Government Spending,6.01E+11,,http://www.businessinsider.com/how-the-us-military-spends-its-billions-2015-8
U.S. Social Security,Annual Budget,Government Spending,8.51E+11,,http://federalsafetynet.com/safety-net-programs.html
Indonesia,GDP - 2013,Countries,8.68E+11,,https://www.google.com/webhp?sourceid=chrome-instant&ion=1&espv=2&ie=UTF-8#q=gdp+indonesia
$1 Trillion,,Government Spending,1000000000000,,
Annual cost of Medicaid & Medicare,Annual Budget,Government Spending,1.00E+12,,http://kff.org/medicaid/state-indicator/medicaid-spending-per-enrollee/
,,Government Spending,1.10E+11,,http://knoema.com/IMFWEO2015Oct/imf-world-economic-outlook-weo-october-2015
Africa,GDP - 2016,Countries,1.00E+12,,http://andrewhy.de/how-to-live-comfortably-on-36-a-month-for-food/
,,Countries,1.00E+12,,http://trends.collegeboard.org/college-pricing/figures-tables/average-published-undergraduate-charges-sector-2015-16
,,Countries,2.50E+11,,http://www.usdebtclock.org/
Feed the Entire Human Race,Annual Cost,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,8.00E+10,,
4 Year College Education,Every American age 18-25,Education,1.00E+12,,
,,Education,1.00E+12,,
,,Education,1.00E+12,,
,,Education,1.00E+12,,
,,Education,5.30E+11,,
US National Debt,2016,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
,,Government Spending,1.00E+12,,
